Time,Player,Power,Goroutine,Match Number,Duration(ms)
2025-04-18T17:22:47.2915415+07:00,A,77,playerA,9,0
2025-04-18T17:22:47.3431769+07:00,B,89,playerB,9,0
2025-04-18T17:22:47.3906244+07:00,A,56,playerA,9,0
2025-04-18T17:22:47.436671+07:00,B,112,playerB,9,0
2025-04-18T17:22:47.4828938+07:00,A,83,playerA,9,0
2025-04-18T17:22:47.5306444+07:00,B,105,playerB,9,0
2025-04-18T17:22:47.5766927+07:00,A,75,playerA,9,0
2025-04-18T17:22:47.6235671+07:00,B,92,playerB,9,0
2025-04-18T17:22:47.6735294+07:00,A,58,playerA,9,0
2025-04-18T17:22:47.7233187+07:00,B,83,playerB,9,0
2025-04-18T17:22:47.7707604+07:00,A,48,playerA,9,0
2025-04-18T17:22:47.8226975+07:00,B,90,playerB,9,0
2025-04-18T17:22:47.8728045+07:00,A,58,playerA,9,0
2025-04-18T17:22:47.9197325+07:00,B,83,playerB,9,0
2025-04-18T17:22:47.9852471+07:00,A,51,playerA,9,0
2025-04-18T17:22:48.0329602+07:00,B,83,playerB,9,0
2025-04-18T17:22:48.0810266+07:00,A,41,playerA,9,0
2025-04-18T17:22:48.1272796+07:00,B,117,playerB,9,0
2025-04-18T17:22:48.1746899+07:00,A,76,playerA,9,0
2025-04-18T17:22:48.2219184+07:00,B,114,playerB,9,0
2025-04-18T17:22:48.2692138+07:00,A,61,playerA,9,0
2025-04-18T17:22:48.3145796+07:00,B,110,playerB,9,0
2025-04-18T17:22:48.3628882+07:00,A,70,playerA,9,0
2025-04-18T17:22:48.4089891+07:00,B,95,playerB,9,0
2025-04-18T17:22:48.4562441+07:00,A,65,playerA,9,0
2025-04-18T17:22:48.5024443+07:00,B,107,playerB,9,0
2025-04-18T17:22:48.5501381+07:00,A,78,playerA,9,0
2025-04-18T17:22:48.5963033+07:00,B,128,playerB,9,0
2025-04-18T17:22:48.6422441+07:00,A,63,playerA,9,0
2025-04-18T17:22:48.6900472+07:00,B,97,playerB,9,0
2025-04-18T17:22:48.7361012+07:00,A,74,playerA,9,0
2025-04-18T17:22:48.7846152+07:00,B,125,playerB,9,0
2025-04-18T17:22:48.834339+07:00,A,73,playerA,9,0
2025-04-18T17:22:48.8805735+07:00,B,122,playerB,9,0
2025-04-18T17:22:48.9278651+07:00,A,89,playerA,9,0
2025-04-18T17:22:48.9743329+07:00,B,125,playerB,9,0
2025-04-18T17:22:49.0184008+07:00,A,74,playerA,9,0
2025-04-18T17:22:49.0619842+07:00,B,122,playerB,9,0
2025-04-18T17:22:49.1096403+07:00,A,78,playerA,9,0
2025-04-18T17:22:49.1565758+07:00,B,86,playerB,9,0
2025-04-18T17:22:49.2022732+07:00,A,44,playerA,9,0
2025-04-18T17:22:49.2485207+07:00,B,122,playerB,9,0
2025-04-18T17:22:49.2950696+07:00,A,79,playerA,9,0
2025-04-18T17:22:49.3417181+07:00,B,99,playerB,9,0
2025-04-18T17:22:49.3907193+07:00,A,67,playerA,9,0
2025-04-18T17:22:49.4366649+07:00,B,101,playerB,9,0
2025-04-18T17:22:49.4839564+07:00,A,67,playerA,9,0
2025-04-18T17:22:49.5287224+07:00,B,130,playerB,9,0
2025-04-18T17:22:49.5756849+07:00,A,75,playerA,9,0
2025-04-18T17:22:49.6209789+07:00,B,103,playerB,9,0
2025-04-18T17:22:49.6674268+07:00,A,73,playerA,9,0
2025-04-18T17:22:49.7135182+07:00,B,125,playerB,9,0
2025-04-18T17:22:49.7614769+07:00,A,63,playerA,9,0
2025-04-18T17:22:49.8079695+07:00,B,125,playerB,9,0
2025-04-18T17:22:49.8533388+07:00,A,77,playerA,9,0
2025-04-18T17:22:49.8989435+07:00,B,111,playerB,9,0
2025-04-18T17:22:49.9432374+07:00,A,88,playerA,9,0
2025-04-18T17:22:49.9914259+07:00,B,120,playerB,9,0
2025-04-18T17:22:50.0382808+07:00,A,80,playerA,9,0
2025-04-18T17:22:50.084323+07:00,B,89,playerB,9,0
2025-04-18T17:22:50.1319994+07:00,A,61,playerA,9,0
2025-04-18T17:22:50.1772409+07:00,B,117,playerB,9,0
2025-04-18T17:22:50.2235161+07:00,A,69,playerA,9,0
2025-04-18T17:22:50.2700536+07:00,B,130,playerB,9,0
2025-04-18T17:22:50.3173715+07:00,A,81,playerA,9,0
2025-04-18T17:22:50.3659459+07:00,B,116,playerB,9,0
2025-04-18T17:22:50.4120488+07:00,A,80,playerA,9,0
2025-04-18T17:22:50.459968+07:00,B,87,playerB,9,0
2025-04-18T17:22:50.5073094+07:00,A,61,playerA,9,0
2025-04-18T17:22:50.5540952+07:00,B,88,playerB,9,0
2025-04-18T17:22:50.601111+07:00,A,54,playerA,9,0
2025-04-18T17:22:50.6488382+07:00,B,130,playerB,9,0
2025-04-18T17:22:50.6944066+07:00,A,74,playerA,9,0
2025-04-18T17:22:50.7441797+07:00,B,101,playerB,9,0
2025-04-18T17:22:50.7916659+07:00,A,53,playerA,9,0
2025-04-18T17:22:50.8381874+07:00,B,115,playerB,9,0
2025-04-18T17:22:50.8846275+07:00,A,78,playerA,9,0
2025-04-18T17:22:50.9284302+07:00,B,100,playerB,9,0
2025-04-18T17:22:50.9744064+07:00,A,61,playerA,9,0
2025-04-18T17:22:51.0184995+07:00,B,125,playerB,9,0
2025-04-18T17:22:51.0679893+07:00,A,72,playerA,9,0
2025-04-18T17:22:51.1198481+07:00,B,90,playerB,9,0
2025-04-18T17:22:51.1677014+07:00,A,51,playerA,9,0
2025-04-18T17:22:51.2166768+07:00,B,85,playerB,9,0
2025-04-18T17:22:51.2621358+07:00,A,61,playerA,9,0
2025-04-18T17:22:51.3092929+07:00,B,106,playerB,9,0
2025-04-18T17:22:51.3544677+07:00,A,67,playerA,9,0
2025-04-18T17:22:51.399898+07:00,B,112,playerB,9,0
